id,MinAge,MaxAge,Taxon,Rotated Lat,Rotated Lon,range
4405,283.5,290.1,Araeoscelis,-2.9808,-38.7628,"(290.1, 283.5)"
4406,283.5,290.1,Araeoscelis,-2.9808,-38.7628,"(290.1, 283.5)"
4338,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4339,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4307,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4304,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4305,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4306,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4303,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4302,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4301,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4300,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4299,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4298,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4297,264.28,273.01,Rothianiscus,2.6894,-35.9903,"(273.01, 264.28)"
4296,273.01,283.5,Captorhinoides,0.2573,-40.5036,"(283.5, 273.01)"
4289,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4290,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4291,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4292,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4293,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4294,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4295,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4288,283.5,290.1,Bolosaurus,-0.73,-37.6741,"(290.1, 283.5)"
4287,283.5,290.1,Bolosaurus,-2.9808,-38.7628,"(290.1, 283.5)"
4286,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
4285,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4284,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4283,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4281,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4282,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4280,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
4279,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
4278,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4277,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4276,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
4275,273.01,283.5,Captorhinus,1.0593,-36.5887,"(283.5, 273.01)"
4274,273.01,283.5,Labidosaurus,1.0593,-36.5887,"(283.5, 273.01)"
4273,273.01,283.5,Bolosaurus,-1.1855,-37.6892,"(283.5, 273.01)"
4268,273.01,283.5,Araeoscelis,-1.1855,-37.6892,"(283.5, 273.01)"
4269,273.01,283.5,Araeoscelis,-1.1855,-37.6892,"(283.5, 273.01)"
4270,273.01,283.5,Araeoscelis,-1.1855,-37.6892,"(283.5, 273.01)"
4271,273.01,283.5,Araeoscelis,-1.1855,-37.6892,"(283.5, 273.01)"
4272,273.01,283.5,Araeoscelis,-1.1855,-37.6892,"(283.5, 273.01)"
4267,273.01,283.5,Captorhinus,-1.1855,-37.6892,"(283.5, 273.01)"
4266,273.01,283.5,Labidosaurus,-1.1855,-37.6892,"(283.5, 273.01)"
4265,273.01,283.5,Labidosaurus,-1.1855,-37.6892,"(283.5, 273.01)"
4264,273.01,283.5,Captorhinus,-1.1855,-37.6892,"(283.5, 273.01)"
4263,283.5,290.1,Mesosaurus,-57.634,-24.1868,"(290.1, 283.5)"
4262,283.5,290.1,Mesosaurus,-57.634,-24.1868,"(290.1, 283.5)"
4261,283.5,290.1,Mesosaurus,-57.634,-24.1868,"(290.1, 283.5)"
4260,283.5,290.1,Mesosaurus,-57.634,-24.1868,"(290.1, 283.5)"
4243,273.01,283.5,Captorhinus,-1.1855,-37.6892,"(283.5, 273.01)"
3692,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3693,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3694,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3695,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3696,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3697,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3698,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3699,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3700,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3701,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3702,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3703,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3704,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3705,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3706,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3707,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3708,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3709,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3710,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3711,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3712,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3713,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3714,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3715,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3716,283.5,290.1,Opisthodontosaurus,-0.73,-37.6741,"(290.1, 283.5)"
3689,283.5,290.1,Colobomycter,-0.73,-37.6741,"(290.1, 283.5)"
3690,283.5,290.1,Colobomycter,-0.73,-37.6741,"(290.1, 283.5)"
3691,283.5,290.1,Colobomycter,-0.73,-37.6741,"(290.1, 283.5)"
3598,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3599,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3600,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3601,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3602,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3603,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3604,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
3605,283.5,290.1,Captorhinus,-0.73,-37.6741,"(290.1, 283.5)"
