Time,mean_gl_stages_z_trans,Mod_R_deltaTMyr_gl_stages_z_trans
274.9,-0.767960511,-0.712796116
275,-0.767960511,-0.712796116
275.1,-0.767960511,-0.712796116
275.2,-0.767960511,-0.712796116
275.3,-0.767960511,-0.712796116
275.4,-0.767960511,-0.712796116
275.5,-0.767960511,-0.712796116
275.6,-0.767960511,-0.712796116
275.7,-0.767960511,-0.712796116
275.8,-0.767960511,-0.712796116
275.9,-0.767960511,-0.712796116
276,-0.767960511,-0.712796116
276.1,-0.767960511,-0.712796116
276.2,-0.767960511,-0.712796116
276.3,-0.767960511,-0.712796116
276.4,-0.767960511,-0.712796116
276.5,-0.767960511,-0.712796116
276.6,-0.767960511,-0.712796116
276.7,-0.767960511,-0.712796116
276.8,-0.767960511,-0.712796116
276.9,-0.767960511,-0.712796116
277,-0.767960511,-0.712796116
277.1,-0.767960511,-0.712796116
277.2,-0.767960511,-0.712796116
277.3,-0.767960511,-0.712796116
277.4,-0.767960511,-0.712796116
277.5,-0.767960511,-0.712796116
277.6,-0.767960511,-0.712796116
277.7,-0.767960511,-0.712796116
277.8,-0.767960511,-0.712796116
277.9,-0.767960511,-0.712796116
278,-0.767960511,-0.712796116
278.1,-0.767960511,-0.712796116
278.2,-0.767960511,-0.712796116
278.3,-0.767960511,-0.712796116
278.4,-0.767960511,-0.712796116
278.5,-0.767960511,-0.712796116
278.6,-0.767960511,-0.712796116
278.7,-0.767960511,-0.712796116
278.8,-0.767960511,-0.712796116
278.9,-0.767960511,-0.712796116
279,-0.767960511,-0.712796116
279.1,-0.767960511,-0.712796116
279.2,-0.767960511,-0.712796116
279.3,-0.767960511,-0.712796116
279.4,-0.767960511,-0.712796116
279.5,-0.767960511,-0.712796116
279.6,-0.767960511,-0.712796116
279.7,-0.767960511,-0.712796116
279.8,-0.767960511,-0.712796116
279.9,-0.767960511,-0.712796116
280,-0.767960511,-0.712796116
280.1,-0.767960511,-0.712796116
280.2,-0.767960511,-0.712796116
280.3,-0.767960511,-0.712796116
280.4,-0.767960511,-0.712796116
280.5,-0.767960511,-0.712796116
280.6,-0.767960511,-0.712796116
280.7,-0.767960511,-0.712796116
280.8,-0.767960511,-0.712796116
280.9,-0.767960511,-0.712796116
281,-0.767960511,-0.712796116
281.1,-0.767960511,-0.712796116
281.2,-0.767960511,-0.712796116
281.3,-0.767960511,-0.712796116
281.4,-0.767960511,-0.712796116
281.5,-0.767960511,-0.712796116
281.6,-0.767960511,-0.712796116
281.7,-0.767960511,-0.712796116
281.8,-0.767960511,-0.712796116
281.9,-0.767960511,-0.712796116
282,-0.767960511,-0.712796116
282.1,-0.767960511,-0.712796116
282.2,-0.767960511,-0.712796116
282.3,-0.767960511,-0.712796116
282.4,-0.767960511,-0.712796116
282.5,-0.767960511,-0.712796116
282.6,-0.767960511,-0.712796116
282.7,-0.767960511,-0.712796116
282.8,-0.767960511,-0.712796116
282.9,-0.767960511,-0.712796116
283,-0.767960511,-0.712796116
283.1,-0.767960511,-0.712796116
