age	mean_minmax	Mod_R_deltaTMyr_minmax
202	0.307123028123085	0.282712495827694
203	0.46173756878225225	0.026824736369159757
204	0.43953860318255566	0.11058459776481314
205	0.37399598513111254	0.16027051801399164
206	0.4652498357795185	0.13465838439635033
207	0.5432500419055897	0.040404324252960144
208	0.514023976449578	0.12398961204621026
209	0.44154459566080195	0.005442213985395128
210	0.43041055580920506	0.0862540376521844
211	0.48336271187196234	0.11001202404655816
212	0.5486090372116039	0.0998852543106007
213	0.6086150101368943	0.4437215980807882
214	0.8465477718401573	0.13289126430902456
215	0.7694620061784421	0.7175803207166638
216	0.38981414181359275	0.08196898128884197
217	0.4405488873846761	0.41581068749667854
222	0.21705933087661622	0.04704806849714602
226	0.24972336935839312	0.46728254498527283
227	0.4998483367323474	0.0656210249709927
229	0.5421234202200722	0.5039984925279377
231	0.811247980846924	0.0076235328777076
232	0.8235107986234693	0.5056554489614997
233	0.5535288044934181	0.0
234	0.5618466330616858	0.10919693105916725
235	0.4970220979885598	0.027662585031991618
236	0.5196546295108173	0.020386620777334673
237	0.5385220291858168	0.027036654487787932
238	0.5608306567663086	0.09276554707681957
239	0.6171523576122651	0.36317866850509606
240	0.8134061484234487	0.34451122544830115
241	1.0	0.6775661842013234
242	0.6410584594843831	0.5778135264876575
243	0.9483804717277771	0.037905488816189645
244	0.9204474916934333	0.5360714733146889
245	0.6347259583808076	0.07465639241224879
246	0.6816766197702773	0.07734330541761424
247	0.7300176933257263	0.29404779587927965
248	0.8904979700240934	0.019440367931186846
249	0.9088757076134373	0.10224020423186221
250	0.9701003086135049	0.025331999109322375
251	0.9486737984264808	0.6414001497214179
252	0.6084472843850599	1.0
253	0.08265423426155305	0.2566588528730494
254	0.22378665978278	0.08731326982338067
255	0.17028637771201405	0.2167518880270957
256	0.2907679378306103	0.24614901167653158
257	0.42646178055387285	0.060956390007069775
258	0.46632303134513187	0.05519067078034273
259	0.42944539794153647	0.30370680804785294
260	0.26396682091152845	0.36800447758141447
261	0.4627178487390511	0.7937539862773555
262	0.0436519994259319	0.5820660727604674
263	0.3531745984422163	0.33732916469272256
264	0.17029728518966447	0.09826445533028728
265	0.11113003573391511	0.1986804439266932
266	0.0	0.44148387608103806
267	0.2367747956206836	0.11282315633663384
268	0.17007377897596987	0.4977643722520461
269	0.4359723370676445	0.4328221583313194
270	0.20367976575991253	0.1338113958214119
271	0.12611785476089388	0.23712376180043093
272	0.25714135469813204	0.1165693991259805
273	0.32578095923977957	0.06533873947344643
274	0.2836519522917378	0.1455153872926217
275	0.20003351594800245	0.2987058529616598
276	0.03714280981247686	0.0918626495591671
277	0.09299728309175048	0.2894212268510701
279	0.25108342606142875	0.1498651040424048
280	0.3369527324921697	0.08055163907642521
281	0.28695142639670035	0.49952101802999155
283	0.020143848430864697	0.35998079542886746
285	0.2147428186104392	0.6070006150300941
287	0.537168425416013	0.4665128086935078
288	0.2874417775003	0.09741190313164923
290	0.22871570236686178	0.19939837726602924
291	0.11721415415577452	0.322215123200256
292	0.2922703252781811	0.30976929454388674
293	0.12365456194128166	0.08678410786601229
294	0.07042810807172728	0.8022139286393977
295	0.49387176746077177	0.1581949878924396
296	0.40369195214326314	0.2202482760990408
297	0.2814010979897934	0.15045788040421562
298	0.19522504440087252	0.3458505764182588
299	0.3825119762072271	0.1424254544339408
300	0.46453144893876264	0.05963709373629081
